destination_nom,destination_code_m49,niveau,annee,sexe,personnes_nees_en_haiti,base_estimation,couverture_source,source_id,licence,attribution,millesime,date_extraction
Latin America and the Caribbean,1830,ensemble,1990,tous,233817,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,1995,tous,260942,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2000,tous,288726,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2005,tous,337832,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2010,tous,398753,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2015,tous,595466,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2020,tous,825181,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2024,tous,993632,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,1990,hommes,149481,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,1995,hommes,163973,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2000,hommes,178822,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2005,hommes,205082,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2010,hommes,237949,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2015,hommes,374544,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2020,hommes,527511,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2024,hommes,622847,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,1990,femmes,84336,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,1995,femmes,96969,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2000,femmes,109904,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2005,femmes,132750,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2010,femmes,160804,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2015,femmes,220922,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2020,femmes,297670,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Latin America and the Caribbean,1830,ensemble,2024,femmes,370785,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,1990,tous,72,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,1995,tous,79,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2000,tous,90,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2005,tous,94,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2010,tous,102,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2015,tous,120,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2020,tous,128,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2024,tous,130,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,1990,hommes,29,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,1995,hommes,33,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2000,hommes,38,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2005,hommes,42,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2010,hommes,44,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2015,hommes,60,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
Australia/New Zealand,1836,ensemble,2020,hommes,68,,,SRC-054,CC BY 3.0 IGO,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024",révision 2024,2026-08-23
