pcode_commune,nom_commune,nom_commune_ht,operateur,points_de_service,libelles_sources,lecture_du_zero,source_id,source,licence,attribution,date_extraction
HT0542,Petite Rivière de l'Artibonite,Ti Rivyè Latibonit,CAM Transfer,3,PETITE-RIVIERE-DE-LARTIBONITE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0344,Pignon,Piyon,CAM Transfer,3,PIGNON,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0322,Plaine du Nord,Plèn dinò,CAM Transfer,3,PLAINE DU NORD,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0371,Plaisance,Plezans,CAM Transfer,3,PLAISANCE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0312,Quartier Morin,Katye Moren,CAM Transfer,3,QUARTIER-MORIN,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0921,Saint-Louis du Nord,Sen Lwi dinò,CAM Transfer,3,SAINT-LOUIS-DU-NORD,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0341,Saint-Raphaël,Sen Rafayèl,CAM Transfer,3,SAINT-RAPHAEL,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0642,Thomassique,Tomasik,CAM Transfer,3,THOMASSIQUE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0431,Trou du Nord,Twou dinò,CAM Transfer,3,TROU DU NORD,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0812,Abricots,Abriko,CAM Transfer,2,ABRICOTS,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0321,Acul du Nord,Akil dinò,CAM Transfer,2,ACUL-DU-NORD,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0922,Anse-à-Foleur,Ansafolè,CAM Transfer,2,ANSE-A-FOLEUR,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0932,Baie de Henne,Bèdeyèn,CAM Transfer,2,BAIE-DE-HENNE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0231,Belle-Anse,Bèlans,CAM Transfer,2,BELLE-ANSE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0351,Borgne,Bòn,CAM Transfer,2,BORGNE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0213,Cayes-Jacmel,Kay Jakmèl,CAM Transfer,2,CAYES-JACMEL,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0614,Cerca Carvajal,Sèka Kavajal,CAM Transfer,2,CERCA-CARVAJAL,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0134,Cornillon / Grand Bois,Kòniyon / Gran Bwa,CAM Transfer,2,CORNILLON,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0741,Côteaux,Okoto,CAM Transfer,2,COTEAUX,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0331,Grande Rivière Du Nord,Grann Rivyè dinò,CAM Transfer,2,GRANDE-RIVIERE-DU-NORD,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
