enquete,annee,region,pcode_region_enquete,cartographiable,indicateur_id,precision_source,valeur,ic_bas,ic_haut,denominateur_pondere,denominateur_brut
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_MNC,,5.7,,,49,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_MNC,,5.8,,,18,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_MNC,,5.2,,,31,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_MNC,,5.2,,,130,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_MNC,,8.2,,,39,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_MNC,,6.9,,,37,52
EMMUS 2016,2016,Aire métropolitaine,412001,oui,AH_CIGA_M_MNC,,10.3,,,130,73
EMMUS 2016,2016,Artibonite,412006,oui,AH_CIGA_M_MNC,,9.9,,,96,71
EMMUS 2016,2016,Grand'Anse,412010,oui,AH_CIGA_M_MNC,,7.1,,,17,33
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_MNC,,8.7,,,29,54
EMMUS 2016,2016,Nord-Ouest,412012,oui,AH_CIGA_M_MNC,,8.4,,,17,36
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,AH_CIGA_M_MNC,,8.9,,,58,30
EMMUS 2016,2016,Sud,412008,oui,AH_CIGA_M_MNC,,8.3,,,23,25
EMMUS 2016,2016,Sud-Est,412003,oui,AH_CIGA_M_MNC,,14.6,,,20,25
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_NUM,,72.0,,,,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_NUM,,77.0,,,,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_NUM,,23.0,,,,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_NUM,,38.0,,,,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_NUM,,32.0,,,,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_NUM,,15.0,,,,31
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_NUM,,59.0,,,,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_NUM,,36.0,,,,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_NUM,,16.0,,,,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_NUM,,236.0,,,,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_NUM,,129.0,,,,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_NUM,,63.0,,,,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_NUM,,57.0,,,,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_NUM,,45.0,,,,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_NUM,,64.0,,,,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_NUM,,19.0,,,,39
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_NUM,,49.0,,,,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_NUM,,18.0,,,,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_NUM,,31.0,,,,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_NUM,,130.0,,,,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_NUM,,39.0,,,,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_NUM,,37.0,,,,52
EMMUS 2016,2016,Aire métropolitaine,412001,oui,AH_CIGA_M_NUM,,130.0,,,,73
EMMUS 2016,2016,Artibonite,412006,oui,AH_CIGA_M_NUM,,96.0,,,,71
EMMUS 2016,2016,Grand'Anse,412010,oui,AH_CIGA_M_NUM,,17.0,,,,33
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_NUM,,29.0,,,,54
EMMUS 2016,2016,Nord-Ouest,412012,oui,AH_CIGA_M_NUM,,17.0,,,,36
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,AH_CIGA_M_NUM,,58.0,,,,30
EMMUS 2016,2016,Sud,412008,oui,AH_CIGA_M_NUM,,23.0,,,,25
EMMUS 2016,2016,Sud-Est,412003,oui,AH_CIGA_M_NUM,,20.0,,,,25
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_TOT,,100.0,,,72,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_TOT,,100.0,,,77,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_TOT,,100.0,,,23,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_TOT,,100.0,,,38,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_TOT,,100.0,,,32,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_TOT,,100.0,,,15,31
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_TOT,,100.0,,,59,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_TOT,,100.0,,,36,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_TOT,,100.0,,,16,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_TOT,,100.0,,,236,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_TOT,,100.0,,,129,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_TOT,,100.0,,,63,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_TOT,,100.0,,,57,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_TOT,,100.0,,,45,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_TOT,,100.0,,,64,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_TOT,,100.0,,,19,39
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_TOT,,100.0,,,49,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_TOT,,100.0,,,18,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_TOT,,100.0,,,31,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_TOT,,100.0,,,130,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_TOT,,100.0,,,39,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_TOT,,100.0,,,37,52
EMMUS 2016,2016,Aire métropolitaine,412001,oui,AH_CIGA_M_TOT,,100.0,,,130,73
EMMUS 2016,2016,Artibonite,412006,oui,AH_CIGA_M_TOT,,100.0,,,96,71
EMMUS 2016,2016,Grand'Anse,412010,oui,AH_CIGA_M_TOT,,100.0,,,17,33
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_TOT,,100.0,,,29,54
EMMUS 2016,2016,Nord-Ouest,412012,oui,AH_CIGA_M_TOT,,100.0,,,17,36
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,AH_CIGA_M_TOT,,100.0,,,58,30
EMMUS 2016,2016,Sud,412008,oui,AH_CIGA_M_TOT,,100.0,,,23,25
EMMUS 2016,2016,Sud-Est,412003,oui,AH_CIGA_M_TOT,,100.0,,,20,25
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_UNW,,30.0,,,72,
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_UNW,,46.0,,,77,
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_UNW,,35.0,,,23,
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_UNW,,55.0,,,38,
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_UNW,,44.0,,,32,
EMMUS 2000,2000,Nord-Est,412005,oui,AH_CIGA_M_UNW,,15.0,,,7,
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_UNW,,31.0,,,15,
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_UNW,,39.0,,,59,
