pcode_commune,commune,departement,sante_min,hopital_min,ecole_min,marche_min,ecoles_declarees,ecoles_vues,ecoles_part_vue_pct,pop_ecart_ratio,part_arbres_pct,part_cultures_pct,part_bati_2020_pct,croissance_bati_pct,pvout_moyen,sante_declaree,sante_publique_declaree,sante_vue_osm,seismes_100km,seisme_max_mag,cyclones_100km,cyclone_vent_max_kmh,pluie_normale_mm,eau_permanente_km2,batiments_nb,familles_a_verifier,ecart_sante,ecart_ecoles,ecart_population
HT0612,Maïssade,Centre,3.5,3.5,11.8,11.8,92,1,1.1,1.43,16.35,1.03,0.349,139.4,1725.9,6,0,8,108,7,56,185,1761.2,0.0,14176,1,1.33,92.0,1.43
HT0613,Thomonde,Centre,2.7,2.7,2.1,13.8,100,14,14.0,1.57,25.68,4.69,0.393,235.6,1790.7,3,0,8,109,7,58,213,1335.8,6.166,13719,1,2.67,7.14,1.57
HT0614,Cerca Carvajal,Centre,0.7,0.7,0.4,1.5,36,42,116.7,1.47,3.42,1.26,0.267,127.3,1729.3,3,0,4,48,5.4,57,213,1249.9,0.0,4158,0,1.33,1.17,1.47
HT0621,Mirebalais,Centre,1.5,1.5,0.7,2.3,217,120,55.3,1.18,30.23,1.42,0.876,359.5,1771.5,9,0,30,146,7,57,213,1230.5,0.0,31090,1,3.33,1.81,1.18
HT0622,Saut d'Eau,Centre,7.3,8.5,3.2,6.7,72,45,62.5,1.72,33.85,1.49,0.512,269.4,1784.4,2,0,3,143,7,56,241,1099.4,0.0,11992,0,1.5,1.6,1.72
HT0623,Boucan Carré,Centre,5.7,5.7,6.1,2.9,80,27,33.8,1.48,19.65,1.45,0.219,169.5,1784.4,4,0,1,146,7,55,213,1329.0,0.153,11990,1,4.0,2.96,1.48
HT0631,Lascahobas,Centre,1.2,1.2,0.9,2.0,139,8,5.8,1.53,45.68,0.25,0.561,303.0,1732.7,4,0,6,109,7,54,213,1415.0,0.023,10010,1,1.5,17.38,1.53
HT0632,Belladère,Centre,1.4,1.4,6.2,1.4,96,7,7.3,1.63,26.85,3.61,0.668,214.6,1721.1,5,0,6,86,7,56,213,1460.0,0.085,19348,1,1.2,13.71,1.63
HT0633,Savanette,Centre,5.8,5.8,44.0,7.1,62,,,1.4,35.23,0.59,0.157,131.7,1633.3,3,0,3,111,7,56,213,1082.7,0.0,5143,1,1.0,,1.4
HT0641,Cerca La Source,Centre,3.9,3.9,0.5,1.5,107,85,79.4,1.66,4.65,1.54,0.363,197.7,1741.7,2,0,8,72,5.6,58,213,1294.3,0.0,11252,1,4.0,1.26,1.66
HT0642,Thomassique,Centre,12.7,12.7,11.1,11.0,97,7,7.2,1.43,7.08,5.36,0.708,196.6,1789.3,2,0,2,82,7,57,213,1163.1,0.0,12412,1,1.0,13.86,1.43
HT0711,Les Cayes,Sud,1.7,2.0,1.2,5.2,360,211,58.6,1.51,24.83,8.97,3.251,141.3,1713.5,20,0,115,179,7.2,59,259,1855.3,0.102,44084,1,5.75,1.71,1.51
HT0712,Torbeck,Sud,3.9,4.2,2.9,5.5,161,27,16.8,1.43,35.82,7.88,1.207,98.6,1601.7,6,0,8,136,7.2,61,259,1819.7,0.037,17564,1,1.33,5.96,1.43
HT0713,Chantal,Sud,5.8,5.8,1.7,12.7,65,17,26.2,1.34,38.5,0.4,0.667,75.8,1507.7,2,0,4,111,7.2,60,259,1363.7,0.0,5334,1,2.0,3.82,1.34
HT0714,Camp-Perrin,Sud,2.6,3.5,0.8,4.3,124,68,54.8,1.4,53.35,3.42,1.15,154.4,1512.3,5,0,8,145,7.2,56,259,2186.5,0.0,10387,0,1.6,1.82,1.4
HT0715,Maniche,Sud,2.0,2.5,2.9,4.1,56,40,71.4,1.4,54.4,1.36,0.648,139.8,1548.4,3,0,4,183,7.2,55,259,2459.1,0.0,5192,0,1.33,1.4,1.4
HT0716,Île à Vache,Sud,3.6,4.8,1.4,4.6,25,54,216.0,1.46,33.12,0.62,1.107,128.6,1778.2,2,0,4,180,7.2,54,259,969.9,0.976,2621,0,2.0,2.16,1.46
HT0721,Port-Salut,Sud,1.7,1.7,1.2,3.2,80,12,15.0,1.6,37.45,0.02,1.76,66.9,1721.8,5,0,5,107,7.2,54,259,1609.5,0.05,5777,1,1.0,6.67,1.6
HT0722,Saint Jean du Sud,Sud,6.9,7.5,3.9,5.9,53,18,34.0,1.59,50.18,0.05,1.539,28.9,1754.8,2,0,4,116,7.2,53,259,1054.2,0.044,4766,0,2.0,2.94,1.59
HT0723,Arniquet,Sud,3.1,3.1,2.7,3.8,26,7,26.9,1.53,31.96,0.04,1.505,87.4,1685.4,2,0,3,105,7.2,54,259,1225.7,0.0,3633,1,1.5,3.71,1.53
HT0731,Aquin,Sud,4.2,4.2,2.4,10.6,164,133,81.1,1.38,61.05,0.7,0.892,103.0,1684.1,9,0,27,220,7.2,60,259,1005.2,0.95,30798,0,3.0,1.23,1.38
HT0732,Saint Louis du Sud,Sud,5.4,5.4,2.6,7.1,124,47,37.9,1.42,68.62,0.19,0.76,91.6,1650.1,5,0,7,208,7.2,55,259,1370.4,0.15,8462,0,1.4,2.64,1.42
HT0733,Cavaillon,Sud,3.8,3.8,1.5,6.4,131,58,44.3,1.58,55.42,2.76,0.7,108.2,1628.8,11,0,13,199,7.2,56,259,1517.1,0.167,10203,0,1.18,2.26,1.58
HT0741,Côteaux,Sud,0.8,0.8,0.7,3.7,40,14,35.0,1.44,25.23,0.02,0.609,74.8,1596.1,2,0,4,100,7.2,57,259,1060.6,0.0,3375,0,2.0,2.86,1.44
