categorie,type_organisation,acronyme,nom,secteur,departement,pcode_departement,commune,pcode_commune,methode_rattachement,source_id,source,millesime,date_extraction,statut_valeur,niveau_qualite,version
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Artibonite,HT05,Gonaïves,HT0511,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Artibonite,HT05,Grande Saline,HT0543,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Artibonite,HT05,Marmelade,HT0552,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Artibonite,HT05,Saint-Marc,HT0531,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Artibonite,HT05,Saint-Michel de l'Attalaye,HT0551,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Artibonite,HT05,Verrettes,HT0532,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Centre,HT06,Belladère,HT0632,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Centre,HT06,Cerca La Source,HT0641,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Centre,HT06,Hinche,HT0611,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Centre,HT06,Maïssade,HT0612,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Centre,HT06,Savanette,HT0633,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Centre,HT06,Thomonde,HT0613,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Grande'Anse,HT08,Abricots,HT0812,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Grande'Anse,HT08,Corail,HT0831,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Grande'Anse,HT08,Dame Marie,HT0822,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,FHI 360,Family Health International 360,Nutrition,Grande'Anse,HT08,Jérémie,HT0811,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
